City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
373,tuatapere,7,NZ,clear sky,79,-46.1333,167.6833,51.82,0.0,0,2.93
374,makakilo city,75,US,broken clouds,50,21.3469,-158.0858,88.12,0.0,0,10.36
375,cockburn town,40,TC,scattered clouds,69,21.4612,-71.1419,82.36,0.0,0,11.5
376,westport,1,US,clear sky,56,41.1415,-73.3579,86.14,0.0,0,4.0
377,namestovo,69,SK,broken clouds,89,49.4079,19.4803,69.17,0.0,0,2.91
378,toora-khem,77,RU,broken clouds,98,52.4675,96.11,58.66,0.0,0,2.39
379,laukaa,100,RU,overcast clouds,66,58.7372,29.8453,64.87,0.0,0,4.56
380,yuzha,58,RU,broken clouds,89,56.5831,42.0122,57.87,0.0,0,2.93
381,ust-kuyga,25,RU,scattered clouds,63,70.0167,135.6,49.1,0.0,0,15.55
382,iqaluit,75,CA,broken clouds,54,63.7506,-68.5145,52.7,0.0,0,15.01
383,henties bay,0,NA,clear sky,84,-22.116,14.2845,56.86,0.0,0,7.27
384,sao lourenco do oeste,60,BR,broken clouds,67,-26.3592,-52.8511,39.76,0.0,0,9.75
385,andilamena,86,MG,overcast clouds,90,-17.0167,48.5833,54.75,0.0,0,4.23
386,melo,12,UY,few clouds,61,-32.3667,-54.1833,41.88,0.0,0,15.75
387,longyearbyen,75,SJ,broken clouds,93,78.2186,15.6401,42.64,0.0,0,12.66
388,ravar,33,IR,scattered clouds,17,31.2656,56.8055,78.93,0.0,0,0.67
389,am timan,100,TD,light rain,95,11.0297,20.2827,70.88,0.36,0,4.54
390,shu,0,KZ,clear sky,29,43.5983,73.7614,72.86,0.0,0,8.34
391,baymak,66,RU,broken clouds,58,52.5933,58.3225,58.32,0.0,0,5.59
392,manzanillo,91,CU,overcast clouds,77,20.3433,-77.1167,83.44,0.0,0,8.99
393,ahipara,44,NZ,scattered clouds,82,-35.1667,173.1667,58.96,0.0,0,7.92
394,sambava,58,MG,broken clouds,83,-14.2667,50.1667,66.65,0.0,0,9.62
395,nefteyugansk,99,RU,moderate rain,98,61.0998,72.6035,57.45,1.29,0,6.76
396,lapua,60,FI,broken clouds,56,62.9693,23.0088,66.34,0.0,0,5.19
397,anahuac,0,MX,clear sky,16,27.2333,-100.15,98.1,0.0,0,10.89
